index,filename
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_1.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_10_265.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_11.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_11_213.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_11_527.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_11_564.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_12.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_12_18.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_12_204.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_12_254.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_12_294.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_12_61.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_13.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_14.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_16.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_16_715.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_17.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_18.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_19.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_19_134.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_19_33.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_2.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_20.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_20_105.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_20_282.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_20_40.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_21_298.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_22_286.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_22_502.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_22_571.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_22_73.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_25_100.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_25_173.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_27_353.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_27_46.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_28_290.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_29_682.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_2_214.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_2_458.npy
1,G:\Data\LIDC\LUNA16\classsification\1_aug\0_3.npy
